episode,total_reward,win,epsilon,steps
381,0.81,1,0.966,13
382,-0.55,0,0.966,16
383,-0.56,0,0.966,10
384,0.9,1,0.966,14
385,-0.65,0,0.966,7
386,-0.6,0,0.966,11
387,-0.63,0,0.966,11
388,-0.54,0,0.966,8
389,-0.59,0,0.965,9
390,-0.48,0,0.965,5
391,-0.65,0,0.965,4
392,-0.69,0,0.965,26
393,-0.67,0,0.965,9
394,-0.6,0,0.965,6
395,0.94,1,0.965,7
396,-0.59,0,0.965,7
397,-0.69,0,0.965,14
398,-0.85,0,0.965,17
399,-0.6,0,0.965,10
400,-0.65,0,0.965,9
401,-0.78,0,0.964,12
402,-0.55,0,0.964,4
403,-0.63,0,0.964,10
404,0.75,0,0.964,20
405,-0.6,0,0.964,17
406,-0.74,0,0.964,27
407,-0.68,0,0.964,7
408,0.77,0,0.964,12
409,-0.53,0,0.964,8
410,-0.55,0,0.964,7
411,-0.78,0,0.963,20
412,-0.81,0,0.963,24
413,-0.61,0,0.963,7
414,-0.57,0,0.963,8
415,-0.6,0,0.963,7
416,-0.7,0,0.963,9
417,-0.62,0,0.963,7
418,-0.65,0,0.963,11
419,-0.76,0,0.963,18
420,0.83,1,0.963,13
421,0.95,1,0.963,4
422,0.97,1,0.963,3
423,-0.65,0,0.962,12
424,-0.52,0,0.962,11
425,-0.57,0,0.962,9
426,-0.69,0,0.962,7
427,-0.59,0,0.962,10
428,-0.68,0,0.962,11
429,-0.64,0,0.962,13
430,-0.54,0,0.962,15
431,-0.57,0,0.962,8
432,-0.85,0,0.962,14
433,-0.68,0,0.962,9
434,-0.66,0,0.962,6
435,0.95,1,0.961,5
436,-0.63,0,0.961,9
437,-0.64,0,0.961,7
438,-0.55,0,0.961,7
439,-0.7,0,0.961,14
440,-0.77,0,0.961,11
441,-0.61,0,0.961,23
442,-0.89,0,0.961,18
443,-0.9,0,0.961,35
444,-0.59,0,0.96,12
445,-0.56,0,0.96,5
446,-0.52,0,0.96,13
447,-0.62,0,0.96,13
448,-0.81,0,0.96,10
449,-0.68,0,0.96,19
450,-0.61,0,0.96,6
451,-0.52,0,0.96,7
452,0.96,1,0.96,4
453,-0.57,0,0.96,8
454,-0.56,0,0.96,5
455,-0.68,0,0.96,14
456,-0.59,0,0.96,9
457,-0.55,0,0.959,6
458,-0.77,0,0.959,11
459,-0.55,0,0.959,13
460,-0.61,0,0.959,10
461,-0.66,0,0.959,8
462,-0.64,0,0.959,10
463,0.54,0,0.959,25
464,-0.6,0,0.959,3
465,-0.59,0,0.959,10
466,-0.59,0,0.959,7
467,-0.59,0,0.959,12
468,-0.57,0,0.959,9
469,-0.51,0,0.958,6
470,-0.52,0,0.958,6
471,-0.58,0,0.958,8
472,-0.62,0,0.958,9
473,-0.55,0,0.958,6
474,-0.79,0,0.958,14
475,-0.57,0,0.958,5
476,0.74,0,0.958,14
477,-0.83,0,0.958,22
478,-0.69,0,0.958,9
479,0.85,1,0.958,13
480,-0.57,0,0.958,4
481,-0.81,0,0.957,25
482,-0.62,0,0.957,13
483,-0.5,0,0.957,4
484,-0.74,0,0.957,12
485,-0.79,0,0.957,11
486,-0.74,0,0.957,14
487,-0.8,0,0.957,18
488,-0.79,0,0.957,23
489,-0.71,0,0.957,15
490,-0.53,0,0.956,10
491,0.91,1,0.956,5
492,-0.71,0,0.956,20
493,-0.55,0,0.956,8
494,-0.64,0,0.956,11
495,-0.94,0,0.956,20
496,-0.5,0,0.956,5
497,-0.62,0,0.956,10
498,-0.54,0,0.956,8
499,-0.66,0,0.956,6
500,0.74,0,0.956,15
501,0.76,0,0.956,14
502,-0.72,0,0.955,12
503,-0.5,0,0.955,6
504,0.51,0,0.955,24
505,-0.58,0,0.955,4
506,-0.74,0,0.955,22
507,-0.77,0,0.955,16
508,-0.52,0,0.955,7
509,-0.66,0,0.955,10
510,-0.61,0,0.955,9
511,-0.61,0,0.955,10
512,-0.66,0,0.954,16
513,-0.6,0,0.954,19
514,-0.66,0,0.954,7
515,-0.57,0,0.954,10
516,-0.59,0,0.954,5
517,-0.67,0,0.954,9
518,-0.65,0,0.954,9
519,-0.6,0,0.954,8
520,-0.74,0,0.954,16
521,-0.97,0,0.954,23
522,-0.59,0,0.954,9
523,-0.58,0,0.953,11
524,-0.79,0,0.953,25
525,0.9,1,0.953,6
526,-0.61,0,0.953,19
527,-0.71,0,0.953,9
528,-0.65,0,0.953,12
529,-0.53,0,0.953,6
530,-0.55,0,0.953,10
531,-0.63,0,0.953,14
532,-0.53,0,0.953,6
533,-0.56,0,0.953,3
534,0.89,1,0.952,9
535,0.94,1,0.952,9
536,-0.7,0,0.952,17
537,-0.62,0,0.952,7
538,-0.8,0,0.952,11
539,-0.61,0,0.952,8
540,-0.61,0,0.952,7
541,-0.72,0,0.952,25
542,-0.6,0,0.952,10
543,-0.67,0,0.952,6
544,-0.64,0,0.952,10
545,-0.72,0,0.952,10
546,-0.75,0,0.951,12
547,0.82,1,0.951,13
548,-0.6,0,0.951,10
549,-1.0,0,0.951,23
550,-0.73,0,0.951,12
551,0.75,0,0.951,15
552,-0.61,0,0.951,6
553,-0.61,0,0.951,5
554,-0.68,0,0.951,11
555,-0.67,0,0.951,6
556,-0.67,0,0.951,13
557,-0.56,0,0.951,5
558,-0.73,0,0.95,9
559,-0.78,0,0.95,15
560,-0.51,0,0.95,10
561,-0.62,0,0.95,9
562,-0.71,0,0.95,12
563,-0.57,0,0.95,8
564,-0.61,0,0.95,11
565,-0.71,0,0.95,26
566,0.75,0,0.95,18
567,0.98,1,0.95,4
568,-0.55,0,0.949,5
569,-0.5,0,0.949,8
570,-0.6,0,0.949,8
571,-0.58,0,0.949,9
572,-0.74,0,0.949,25
573,0.97,1,0.949,3
574,-0.76,0,0.949,20
575,-0.79,0,0.949,18
576,-0.68,0,0.949,6
577,-0.61,0,0.949,7
578,-0.77,0,0.949,14
579,-0.56,0,0.949,6
580,0.91,1,0.948,8
581,-0.59,0,0.948,8
582,-0.62,0,0.948,8
583,-0.57,0,0.948,6
584,-0.54,0,0.948,5
585,-0.76,0,0.948,11
586,-0.55,0,0.948,14
587,-0.66,0,0.948,14
588,-0.5,0,0.948,5
589,-0.62,0,0.948,5
590,-0.66,0,0.948,20
591,-0.7,0,0.948,11
592,-0.73,0,0.947,23
593,-0.58,0,0.947,7
594,-0.66,0,0.947,6
595,-0.55,0,0.947,6
596,-0.66,0,0.947,12
597,-0.68,0,0.947,19
598,0.9,1,0.947,9
599,-0.56,0,0.947,4
600,0.97,1,0.947,6
601,-0.62,0,0.947,6
602,-0.57,0,0.947,10
603,-0.6,0,0.947,12
604,-0.56,0,0.947,9
605,-0.77,0,0.946,21
606,-0.57,0,0.946,5
607,-0.6,0,0.946,9
608,-0.72,0,0.946,9
609,-0.61,0,0.946,9
610,-0.68,0,0.946,8
611,-0.73,0,0.946,18
612,-0.56,0,0.946,15
613,-0.69,0,0.946,11
614,-0.79,0,0.946,15
615,-0.6,0,0.946,8
616,-0.56,0,0.946,5
617,-0.59,0,0.945,15
618,-0.67,0,0.945,11
619,-0.61,0,0.945,11
620,-0.66,0,0.945,18
621,-0.62,0,0.945,17
622,-0.78,0,0.945,15
623,-0.55,0,0.945,4
624,-0.61,0,0.945,4
625,-0.63,0,0.945,17
626,-0.65,0,0.945,15
627,-0.58,0,0.944,6
628,0.77,0,0.944,21
629,-0.79,0,0.944,12
630,-0.79,0,0.944,17
631,-0.78,0,0.944,14
