episode,total_reward,win,epsilon,steps
1894,-1050.96,0,0.504,11
191,1043.43,1,0.947,42
1895,-1051.35,0,0.504,20
192,-1051.85,0,0.947,20
193,-1051.89,0,0.947,14
1896,1048.45,1,0.503,20
1897,-1052.02,0,0.503,17
194,-1054.5,0,0.946,30
1898,-1053.44,0,0.503,29
1899,-1050.81,0,0.503,11
1900,-1051.65,0,0.503,15
195,1042.75,1,0.946,55
196,-1049.99,0,0.946,4
1901,-1052.12,0,0.502,22
197,-1054.45,0,0.945,40
198,-1052.18,0,0.945,18
199,-1051.94,0,0.945,14
200,-1051.8,0,0.945,20
201,1049.41,1,0.944,9
1902,-1059.63,0,0.502,83
202,-1050.57,0,0.944,7
1903,-1051.28,0,0.501,18
203,-1054.65,0,0.944,40
1904,-1052.25,0,0.501,30
1905,-1050.34,0,0.501,4
1906,-1053.1,0,0.501,15
204,-1055.54,0,0.943,49
1907,-1050.08,0,0.501,13
205,-1050.93,0,0.943,8
206,1046.03,1,0.943,32
1908,-1052.9,0,0.5,35
207,-1051.27,0,0.943,17
1909,-1052.53,0,0.5,28
208,-1053.3,0,0.943,30
1910,-1051.51,0,0.5,21
209,-1051.26,0,0.942,16
210,-1051.38,0,0.942,18
1911,-1051.79,0,0.5,24
1912,-1050.51,0,0.499,11
211,-1052.8,0,0.942,30
212,-1053.04,0,0.942,29
1913,-1055.92,0,0.499,42
1914,-1050.67,0,0.499,7
213,-1052.52,0,0.941,27
1915,-1.86,0,0.499,31
1916,-1050.1,0,0.499,5
214,-1053.48,0,0.941,28
1917,1047.59,1,0.498,26
1918,-1051.13,0,0.498,18
215,-1058.79,0,0.94,54
1919,-1051.03,0,0.498,23
216,-1054.66,0,0.94,41
1920,-1051.08,0,0.498,18
217,-1052.58,0,0.94,28
1921,-1052.35,0,0.497,25
218,-1050.55,0,0.94,10
1922,-1051.79,0,0.497,24
219,-2.96,0,0.939,26
220,-1050.63,0,0.939,8
1923,-1052.91,0,0.497,26
221,-1051.54,0,0.939,14
1924,-1050.98,0,0.497,13
1925,-1050.7,0,0.497,10
222,-1053.21,0,0.939,31
1926,-1051.52,0,0.496,22
1927,-1050.71,0,0.496,6
223,-1054.42,0,0.938,32
224,-1051.48,0,0.938,18
1928,-1053.42,0,0.496,27
1929,1048.11,1,0.496,19
225,-1053.83,0,0.938,38
226,-1050.7,0,0.938,5
1930,-0.79,0,0.496,14
227,-1051.36,0,0.938,16
228,-1050.81,0,0.937,11
1931,-1054.5,0,0.495,50
229,-5.39,0,0.937,44
1932,-2.13,0,0.495,28
1933,-1052.45,0,0.495,25
1934,1046.35,1,0.494,35
230,1031.91,1,0.936,124
1935,-1053.07,0,0.494,32
1936,-1051.21,0,0.494,16
231,-1054.65,0,0.935,40
1937,-1051.69,0,0.494,19
1938,-1052.24,0,0.493,24
232,-1054.56,0,0.935,41
233,-1053.06,0,0.935,31
1939,1046.41,1,0.493,39
234,-1051.58,0,0.934,18
235,-1052.28,0,0.934,18
1940,-1051.53,0,0.493,23
236,-1051.32,0,0.934,12
1941,1047.99,1,0.492,16
237,-1051.18,0,0.934,13
238,-1051.59,0,0.934,14
1942,-1052.27,0,0.492,22
239,-1054.42,0,0.933,42
1943,-2.64,0,0.492,34
1944,-1051.84,0,0.492,19
1945,-1052.1,0,0.491,15
240,-1054.79,0,0.933,54
241,-1050.89,0,0.933,14
1946,-1052.0,0,0.491,30
1947,-1050.81,0,0.491,16
1948,1046.36,1,0.491,34
242,-1059.1,0,0.932,75
1949,-1051.09,0,0.49,14
243,-1052.53,0,0.932,23
1950,-1051.7,0,0.49,25
244,-1053.54,0,0.931,24
1951,-1051.03,0,0.49,18
1952,-1051.35,0,0.49,20
245,-1055.36,0,0.931,56
1953,1048.14,1,0.49,26
246,-1052.19,0,0.931,19
247,-1050.3,0,0.93,5
1954,-1050.28,0,0.489,8
248,-1053.12,0,0.93,22
1955,-1053.91,0,0.489,36
249,-1052.93,0,0.93,23
250,-1052.13,0,0.93,13
1956,-1052.03,0,0.489,23
251,-1051.92,0,0.93,22
1957,-1050.6,0,0.489,5
1958,1048.67,1,0.489,13
1959,-1050.99,0,0.489,4
252,-1055.46,0,0.929,41
253,-1053.34,0,0.929,24
1960,-1054.59,0,0.488,44
254,-1052.41,0,0.929,26
1961,-1052.81,0,0.488,26
1962,-1051.16,0,0.488,16
255,-1052.77,0,0.928,27
1963,-1051.09,0,0.488,9
1964,-1052.31,0,0.487,16
256,-1052.94,0,0.928,29
1965,-1050.63,0,0.487,18
1966,-1050.09,0,0.487,4
257,-1054.68,0,0.928,38
1967,-1.78,0,0.487,23
258,-1052.61,0,0.927,26
259,-1050.44,0,0.927,4
1968,-1051.97,0,0.487,22
260,-1051.58,0,0.927,18
1969,-1051.82,0,0.486,22
261,-1050.8,0,0.927,5
1970,1048.82,1,0.486,18
262,-1054.35,0,0.927,25
1971,-1050.45,0,0.486,5
263,-1052.92,0,0.927,22
1972,-1052.04,0,0.486,24
1973,-1051.49,0,0.486,19
264,-1052.75,0,0.926,30
1974,-1051.98,0,0.485,33
265,-1054.57,0,0.926,37
266,1049.56,1,0.926,4
1975,-1052.08,0,0.485,18
267,-1051.72,0,0.926,17
1976,-1051.66,0,0.485,21
268,-1053.07,0,0.925,37
1977,-1051.73,0,0.485,18
269,-1051.74,0,0.925,19
1978,-1051.26,0,0.485,21
270,-1052.53,0,0.925,23
1979,-1051.69,0,0.484,29
271,-1053.18,0,0.925,28
1980,-1051.52,0,0.484,22
272,-1055.04,0,0.924,39
273,-1050.28,0,0.924,3
274,-1051.45,0,0.924,15
1981,-1056.77,0,0.483,57
275,-1052.69,0,0.924,29
1982,-1051.06,0,0.483,21
276,1044.8,1,0.923,50
1983,-1053.57,0,0.483,37
277,-1051.42,0,0.923,12
1984,1048.94,1,0.483,16
278,1049.42,1,0.923,8
279,-1052.72,0,0.923,27
1985,-1053.79,0,0.482,34
1986,1049.07,1,0.482,13
1987,-1050.44,0,0.482,9
280,-1053.42,0,0.922,37
1988,-1051.34,0,0.482,14
281,-1052.34,0,0.922,29
1989,1048.27,1,0.482,23
1990,-1051.07,0,0.482,12
1991,-1050.88,0,0.481,13
282,-1054.36,0,0.921,46
1992,-1051.21,0,0.481,11
1993,-1051.46,0,0.481,16
1994,-1051.73,0,0.481,23
283,-1056.18,0,0.921,53
284,1047.06,1,0.921,19
1995,-1052.71,0,0.481,26
285,-1054.58,0,0.92,38
1996,1046.01,1,0.48,44
286,-1051.83,0,0.92,18
1997,-1050.76,0,0.48,11
287,-1052.53,0,0.92,23
1998,-1051.82,0,0.48,32
1999,-1050.5,0,0.48,15
288,-1053.98,0,0.919,38
289,-1051.91,0,0.919,21
2000,-1053.26,0,0.479,41
2001,-1051.78,0,0.479,23
290,-1055.25,0,0.919,45
291,-1051.77,0,0.919,17
2002,-1051.22,0,0.479,22
292,-1051.21,0,0.918,16
293,-1051.98,0,0.918,13
2003,-1051.6,0,0.478,25
294,-1056.17,0,0.918,47
2004,-1053.89,0,0.478,44
295,-1051.43,0,0.918,13
2005,-1051.96,0,0.478,21
296,-1055.31,0,0.917,31
297,1049.37,1,0.917,3
298,-1051.07,0,0.917,12
2006,-1052.97,0,0.477,27
2007,-1052.14,0,0.477,24
299,-1053.83,0,0.917,33
2008,-1051.66,0,0.477,21
2009,-1052.05,0,0.477,25
300,-1055.82,0,0.916,52
301,-1050.05,0,0.916,5
2010,-1053.26,0,0.476,31
302,-1053.35,0,0.916,35
2011,-1051.8,0,0.476,20
303,-1050.55,0,0.916,10
304,-1051.53,0,0.916,18
2012,-1052.62,0,0.476,27
2013,-1050.97,0,0.476,12
305,-1052.46,0,0.915,26
306,-1051.46,0,0.915,16
2014,-1052.04,0,0.476,19
307,-1053.46,0,0.915,31
2015,1048.29,1,0.475,26
308,-1051.22,0,0.915,17
2016,-1052.1,0,0.475,25
309,-1054.77,0,0.914,32
2017,-1052.19,0,0.475,24
