episode,step,px,py,died
1,15760,1,9,0
1,15780,1,4,0
1,15800,5,6,0
1,15820,5,8,0
1,15840,4,9,0
1,15860,4,1,0
1,15880,4,10,0
1,15900,3,1,0
1,15920,4,8,0
1,15940,8,6,0
1,15960,3,4,0
1,15980,5,7,0
1,16000,3,10,0
1,16020,3,10,0
1,16040,1,10,0
1,16060,7,3,0
1,16080,8,1,0
1,16100,1,6,0
1,16120,2,6,0
1,16140,9,3,0
1,16160,4,5,0
1,16180,3,8,0
1,16200,4,9,0
1,16220,2,6,0
1,16240,9,10,0
1,16260,1,8,0
1,16280,2,3,0
1,16300,6,3,0
1,16320,4,10,0
1,16340,9,3,0
1,16360,6,6,0
1,16380,3,6,0
1,16400,4,2,0
1,16420,4,4,0
1,16440,4,4,0
1,16460,8,5,0
1,16480,10,9,0
1,16500,2,2,0
1,16520,5,1,0
1,16540,6,6,0
1,16560,1,2,0
1,16580,9,2,0
1,16600,2,5,0
1,16620,7,4,0
1,16640,8,5,0
1,16660,9,7,0
1,16680,5,4,0
1,16700,4,6,0
1,16720,5,6,0
1,16740,4,9,0
1,16760,5,6,0
1,16780,8,7,0
1,16800,9,9,0
1,16820,6,7,0
1,16840,3,5,0
1,16860,10,5,0
1,16880,9,6,0
1,16900,2,3,0
1,16920,2,4,0
1,16940,3,2,0
1,16960,8,7,0
1,16980,5,1,0
1,17000,4,5,0
1,17020,4,6,0
1,17040,8,5,0
1,17060,4,3,0
1,17080,3,3,0
1,17100,9,7,0
1,17120,10,8,0
1,17140,2,8,0
1,17160,6,9,0
1,17180,3,4,0
1,17200,7,1,0
1,17220,8,5,0
1,17240,4,1,0
1,17260,1,7,0
1,17280,5,4,0
1,17300,9,1,0
1,17320,10,6,0
1,17340,9,5,0
1,17360,2,10,0
1,17380,4,9,0
1,17400,9,9,0
1,17420,7,8,0
1,17440,9,8,0
1,17460,10,3,0
1,17480,5,10,0
1,17500,9,5,0
1,17520,1,5,0
1,17540,5,4,0
1,17560,9,3,0
1,17580,2,1,0
1,17600,3,4,0
1,17620,4,5,0
1,17640,3,7,0
1,17660,8,3,0
1,17680,2,9,0
1,17700,4,9,0
1,17720,9,8,0
1,17740,2,9,0
1,17760,2,5,0
1,17780,6,7,0
1,17800,6,6,0
1,17820,10,8,0
1,17840,3,6,0
1,17860,5,2,0
1,17880,6,9,0
1,17900,1,9,0
1,17920,3,7,0
1,17940,3,9,0
1,17960,9,6,0
1,17980,9,4,0
1,18000,5,8,0
1,18020,8,7,0
1,18040,8,9,0
1,18060,8,9,0
1,18080,6,8,0
1,18100,4,3,0
1,18120,9,5,0
1,18140,6,2,0
1,18160,9,6,0
1,18180,9,6,0
1,18200,10,5,0
1,18220,9,7,0
1,18240,10,10,0
1,18260,3,10,0
1,18280,9,1,0
1,18300,8,8,0
1,18320,7,2,0
1,18340,9,3,0
1,18360,4,1,0
1,18380,5,3,0
1,18400,3,7,0
1,18420,4,5,0
1,18440,1,5,0
1,18460,4,2,0
1,18480,10,3,0
1,18500,3,3,0
1,18520,2,2,0
1,18540,5,7,0
1,18560,10,7,0
1,18580,3,5,0
1,18600,3,7,0
1,18620,4,2,0
1,18640,8,4,0
1,18660,5,1,0
1,18680,4,1,0
1,18700,3,9,0
1,18720,2,8,0
1,18740,10,2,0
1,18760,9,6,0
1,18780,6,8,0
1,18800,9,3,0
1,18820,6,8,0
1,18840,5,4,0
1,18860,5,7,0
1,18880,5,8,0
1,18900,7,1,0
1,18920,1,5,0
1,18940,6,7,0
1,18960,4,5,0
1,18980,2,3,0
1,19000,1,4,0
1,19020,10,3,0
1,19040,3,10,0
1,19060,4,5,0
1,19080,10,6,0
1,19100,4,3,0
1,19120,9,8,0
1,19140,4,5,0
1,19160,2,2,0
1,19180,5,7,0
1,19200,9,3,0
1,19220,2,7,0
1,19240,5,9,0
1,19260,5,1,0
1,19280,2,1,0
1,19300,5,8,0
1,19320,4,3,0
1,19340,10,8,0
1,19360,5,4,0
1,19380,6,5,0
1,19400,3,10,0
1,19420,5,5,0
1,19440,8,1,0
1,19460,6,1,0
1,19480,10,8,0
1,19500,8,9,0
1,19520,9,8,0
1,19540,2,6,0
1,19560,9,2,0
1,19580,5,7,0
1,19600,6,7,0
1,19620,10,6,0
1,19640,9,9,0
1,19660,8,6,0
1,19680,5,4,0
1,19700,10,9,0
1,19720,6,2,0
1,19740,8,6,0
1,19760,6,8,0
1,19780,1,10,0
1,19800,3,10,0
1,19820,10,7,0
1,19840,6,3,0
1,19860,5,5,0
1,19880,7,1,0
1,19900,4,1,0
1,19920,1,7,0
1,19940,10,10,0
1,19960,9,6,0
1,19980,1,7,0
1,20000,7,7,0
1,20020,8,4,0
1,20040,10,5,0
1,20060,2,9,0
1,20080,10,1,0
1,20100,4,7,0
1,20120,10,8,0
1,20140,1,4,0
1,20160,10,4,0
1,20180,2,3,0
1,20200,2,10,0
1,20220,8,9,0
1,20240,7,6,0
1,20260,3,7,0
1,20280,7,5,0
1,20300,3,1,0
1,20320,7,3,0
1,20340,5,10,0
1,20360,2,2,0
1,20380,3,3,0
1,20400,6,3,0
1,20420,9,2,0
1,20440,10,6,0
1,20460,10,8,0
1,20480,2,8,0
1,20500,3,10,0
1,20520,8,8,0
1,20540,4,6,0
1,20560,3,4,0
1,20580,1,6,0
1,20600,2,2,0
1,20620,3,8,0
1,20640,8,10,0
1,20660,6,5,0
1,20680,9,4,0
1,20700,10,3,0
1,20720,5,1,0
1,20740,7,6,0
1,20760,8,2,0
1,20780,10,4,0
1,20800,7,1,0
1,20820,8,6,0
1,20840,3,7,0
1,20860,4,3,0
1,20880,9,9,0
1,20900,2,10,0
1,20920,5,5,0
1,20940,4,1,0
1,20960,4,10,0
1,20980,1,2,0
1,21000,7,9,0
1,21020,1,2,0
1,21040,2,1,0
1,21060,8,10,0
1,21080,9,5,0
1,21100,5,1,0
1,21120,5,5,0
1,21140,7,6,0
1,21160,1,5,0
1,21180,9,7,0
1,21200,10,1,0
1,21220,9,5,0
1,21240,7,4,0
1,21260,9,8,0
1,21280,1,9,0
1,21300,2,1,0
1,21320,9,9,0
1,21340,5,9,0
1,21360,2,5,0
1,21380,4,9,0
1,21400,8,2,0
1,21420,4,5,0
1,21440,8,7,0
1,21460,9,6,0
1,21480,3,4,0
1,21500,10,7,0
1,21520,6,2,0
1,21540,9,2,0
1,21560,4,4,0
1,21580,8,8,0
1,21600,8,2,0
1,21620,3,9,0
1,21640,6,4,0
1,21660,1,10,0
1,21680,7,5,0
1,21700,7,5,0
1,21720,8,8,0
1,21740,9,3,0
1,21760,5,7,0
1,21780,9,10,0
1,21800,7,10,0
1,21820,3,4,0
1,21840,9,5,0
1,21860,4,1,0
1,21880,6,4,0
1,21900,2,3,0
1,21920,3,10,0
1,21940,6,5,0
1,21960,7,8,0
1,21980,6,1,0
1,22000,7,1,0
1,22020,5,3,0
1,22040,2,9,0
1,22060,9,10,0
1,22080,7,6,0
1,22100,7,4,0
1,22120,5,3,0
1,22140,6,1,0
1,22160,1,4,0
1,22180,1,7,0
1,22200,2,6,0
1,22220,9,5,0
1,22240,1,3,0
1,22260,4,1,0
1,22280,4,3,0
1,22300,7,10,0
1,22320,9,5,0
1,22340,1,8,0
1,22360,7,7,0
1,22380,6,2,0
1,22400,10,5,0
1,22420,8,3,0
1,22440,4,8,0
1,22460,10,5,0
1,22480,10,8,0
1,22500,1,5,0
1,22520,5,3,0
1,22540,6,10,0
1,22560,2,9,0
1,22580,10,10,0
1,22600,2,3,0
1,22620,1,2,0
1,22640,4,10,0
1,22660,8,1,0
1,22680,1,7,0
1,22700,6,4,0
1,22720,4,4,0
1,22740,8,4,0
1,22760,4,3,0
1,22780,3,10,0
1,22800,5,1,0
1,22820,10,2,0
1,22840,1,3,0
1,22860,1,3,0
1,22880,7,2,0
1,22900,4,1,0
1,22920,7,4,0
1,22940,3,8,0
1,22960,3,1,0
1,22980,5,1,0
1,23000,7,9,0
1,23020,1,9,0
1,23040,4,8,0
1,23060,3,3,0
1,23080,9,4,0
1,23100,4,6,0
1,23120,6,7,0
1,23140,8,9,0
1,23160,4,2,0
1,23180,3,5,0
1,23200,1,8,0
1,23220,1,2,0
1,23240,6,2,0
1,23260,10,2,0
1,23280,3,3,0
1,23300,10,5,0
1,23320,1,2,0
1,23340,2,5,0
1,23360,9,1,0
1,23380,6,10,0
1,23400,10,10,0
1,23420,3,9,0
1,23440,5,6,0
1,23460,3,8,0
1,23480,1,1,0
1,23500,5,9,0
1,23520,7,4,0
1,23540,1,10,0
1,23560,2,2,0
1,23580,2,5,0
1,23600,10,5,0
1,23620,7,5,0
1,23640,9,1,0
1,23660,7,6,0
1,23680,10,9,0
1,23700,2,5,0
1,23720,1,8,0
1,23740,3,9,0
1,23760,2,5,0
1,23780,2,3,0
1,23800,5,8,0
1,23820,10,6,0
1,23840,8,3,0
1,23860,2,10,0
1,23880,4,4,0
1,23900,10,1,0
1,23920,9,8,0
1,23940,8,7,0
1,23960,2,3,0
1,23980,8,6,0
1,24000,5,3,0
1,24020,3,2,0
1,24040,10,9,0
1,24060,9,1,0
1,24080,3,8,0
1,24100,3,4,0
1,24120,5,9,0
1,24140,9,1,0
1,24160,3,10,0
1,24180,2,9,0
1,24200,2,2,0
1,24220,10,8,0
1,24240,1,2,0
1,24260,8,3,0
1,24280,5,7,0
1,24300,4,10,0
1,24320,10,1,0
1,24340,8,4,0
1,24360,4,7,0
1,24380,9,1,0
1,24400,9,7,0
1,24420,9,1,0
1,24440,8,10,0
1,24460,7,2,0
1,24480,2,9,0
1,24500,10,3,0
1,24520,6,3,0
1,24540,2,6,0
1,24560,10,3,0
1,24580,5,10,0
1,24600,7,8,0
1,24620,6,9,0
1,24640,3,1,0
1,24660,10,6,0
1,24680,8,1,0
1,24700,8,7,0
1,24720,9,1,0
1,24740,10,10,0
1,24760,1,7,0
1,24780,7,7,0
1,24800,6,2,0
1,24820,6,10,0
1,24840,4,8,0
1,24860,3,10,0
1,24880,3,7,0
1,24900,10,9,0
1,24920,2,8,0
1,24940,4,7,0
1,24960,7,8,0
1,24980,9,2,0
1,25000,2,10,0
1,25020,5,5,0
1,25040,1,1,0
1,25060,1,4,0
1,25080,9,9,0
1,25100,10,8,0
1,25120,5,9,0
1,25140,5,9,0
1,25160,8,2,0
1,25180,1,4,0
1,25200,5,9,0
1,25220,3,1,0
1,25240,10,5,0
1,25260,5,6,0
1,25280,3,8,0
1,25300,1,2,0
1,25320,1,2,0
1,25340,1,1,0
1,25360,3,9,0
1,25380,3,1,0
1,25400,8,8,0
1,25420,4,4,0
1,25440,2,3,0
1,25460,4,1,0
1,25480,9,5,0
