episode,total_reward,steps,duration,player_hp,enemy_hp,shots,hits,win,epsilon
198,1019.98,657,109.5,2,0,49,3,1,0.9057
199,-191.86,1001,166.83,2,3,77,0,0,0.9053
200,-116.36,1001,166.83,3,3,78,0,0,0.9048
201,-134.41,1001,166.83,2,2,76,1,0,0.9044
202,-110.11,1001,166.83,3,3,75,0,0,0.9039
203,-164.71,1001,166.83,1,2,78,1,0,0.9035
204,1068.01,244,40.67,2,0,19,3,1,0.903
205,-66.11,1001,166.83,2,1,78,2,0,0.9026
206,974.12,603,100.5,1,0,45,3,1,0.9021
207,-126.56,1001,166.83,3,3,74,0,0,0.9017
208,-31.56,1001,166.83,3,1,74,2,0,0.9012
209,945.94,831,138.5,1,0,67,3,1,0.9008
210,-124.71,1001,166.83,3,3,74,0,0,0.9003
211,-167.96,1001,166.83,1,2,74,1,0,0.8999
212,1048.02,853,142.17,3,0,64,3,1,0.8994
213,-24.81,1001,166.83,3,1,76,2,0,0.899
214,-1193.9,410,68.33,0,3,31,0,0,0.8985
215,-170.86,1001,166.83,2,3,77,0,0,0.8981
216,-115.01,1001,166.83,1,1,80,2,0,0.8976
217,-170.26,1001,166.83,2,3,75,0,0,0.8972
218,-59.06,1001,166.83,3,2,77,1,0,0.8967
219,-118.26,1001,166.83,3,3,74,0,0,0.8963
220,1050.27,338,56.33,2,0,23,3,1,0.8958
221,-119.41,1001,166.83,3,3,78,0,0,0.8954
222,-58.61,1001,166.83,3,2,76,1,0,0.8949
223,-68.56,1001,166.83,2,1,76,2,0,0.8945
224,-167.26,1001,166.83,2,3,80,0,0,0.894
225,-114.56,1001,166.83,3,3,75,0,0,0.8936
226,-214.46,1001,166.83,1,3,76,0,0,0.8931
227,-111.01,1001,166.83,2,2,75,1,0,0.8927
228,1068.97,703,117.17,3,0,53,3,1,0.8922
229,-110.01,1001,166.83,3,3,74,0,0,0.8918
230,-123.41,1001,166.83,1,1,76,2,0,0.8913
231,-127.81,1001,166.83,1,1,73,2,0,0.8909
232,-111.16,1001,166.83,2,2,75,1,0,0.8904
233,-166.06,1001,166.83,2,3,76,0,0,0.89
234,-6.96,1001,166.83,3,1,73,2,0,0.8896
235,-128.36,1001,166.83,3,3,69,0,0,0.8891
236,-1161.77,547,91.17,0,2,40,1,0,0.8887
237,-170.21,1001,166.83,2,3,77,0,0,0.8882
238,-115.61,1001,166.83,3,3,75,0,0,0.8878
239,-62.41,1001,166.83,2,1,80,2,0,0.8873
240,-67.21,1001,166.83,3,2,77,1,0,0.8869
