episode,reward,win,epsilon,q_size,avg_q,steps
24800,97.94,1,0.127,86,30.215,6
24900,87.34,1,0.124,86,30.486,16
25000,95.27,1,0.12,86,30.29,13
25100,38.74,1,0.117,86,31.139,16
25200,99.18,1,0.113,86,31.96,2
25300,-56.98,0,0.11,86,32.179,8
25400,94.63,1,0.106,86,31.842,7
25500,91.03,1,0.103,86,32.794,17
25600,96.13,1,0.099,86,32.713,7
25700,96.51,1,0.096,86,33.883,9
25800,-59.62,0,0.092,86,33.937,12
25900,92.58,1,0.089,86,34.288,12
26000,93.77,1,0.085,86,34.359,13
26100,95.82,1,0.082,86,34.768,8
26200,96.44,1,0.078,86,35.246,6
26300,93.89,1,0.075,86,35.71,11
26400,93.7,1,0.071,86,36.399,10
26500,98.13,1,0.068,86,37.186,7
26600,94.63,1,0.064,86,37.713,7
26700,94.2,1,0.061,86,37.561,10
26800,94.51,1,0.057,86,38.094,9
26900,92.58,1,0.054,86,38.835,12
27000,96.13,1,0.05,86,38.876,7
27100,95.32,1,0.05,86,39.751,8
27200,87.76,1,0.05,86,39.498,14
27300,98.94,1,0.05,86,39.707,6
27400,92.84,1,0.05,86,40.307,16
27500,99.56,1,0.05,86,40.776,4
27600,91.77,1,0.05,86,40.831,13
27700,99.99,1,0.05,86,41.265,1
27800,96.63,1,0.05,86,41.276,7
27900,93.8,1,0.05,86,41.158,10
28000,96.94,1,0.05,86,41.429,6
28100,92.46,1,0.05,86,41.811,14
28200,95.94,1,0.05,86,42.232,6
28300,95.2,1,0.05,86,42.569,10
28400,97.13,1,0.05,86,42.616,7
28500,90.77,1,0.05,86,42.516,13
28600,94.89,1,0.05,86,42.164,11
28700,90.96,1,0.05,86,42.727,14
28800,96.82,1,0.05,86,42.182,8
28900,99.18,1,0.05,86,42.731,2
29000,96.7,1,0.05,86,42.396,10
29100,99.56,1,0.05,86,41.511,4
29200,94.01,1,0.05,86,41.634,9
29300,94.5,1,0.05,86,42.08,10
29400,94.27,1,0.05,86,42.569,13
29500,99.37,1,0.05,86,42.517,3
29600,93.01,1,0.05,86,42.788,9
29700,91.26,1,0.05,86,42.462,14
29800,95.32,1,0.05,86,41.993,8
29900,86.85,1,0.05,86,41.493,15
30000,96.94,1,0.05,86,41.482,6
