episode,total_reward,steps,duration,player_hp,enemy_hp,shots,hits,epsilon
384,-59.0,1001,166.83,3,1,64,2,0.8253
385,54.28,764,127.33,3,0,47,3,0.8249
386,-59.75,1001,166.83,2,2,67,1,0.8244
387,-59.58,1001,166.83,2,2,63,1,0.824
388,-59.61,1001,166.83,2,2,63,1,0.8236
389,-59.91,1001,166.83,1,3,62,0,0.8232
390,-60.22,1001,166.83,1,3,64,0,0.8228
391,-113.41,224,37.33,0,1,16,2,0.8224
392,-59.67,1001,166.83,3,3,71,0,0.822
393,-59.77,1001,166.83,3,3,71,0,0.8216
394,-59.24,1001,166.83,2,2,68,1,0.8212
395,-137.04,622,103.67,0,2,41,1,0.8207
396,-59.91,1001,166.83,2,3,61,0,0.8203
397,-59.15,1001,166.83,1,1,67,2,0.8199
398,77.18,389,64.83,1,0,27,3,0.8195
399,-59.62,1001,166.83,2,2,72,1,0.8191
400,-158.35,988,164.67,0,2,65,1,0.8187
401,-138.07,642,107.0,0,3,43,0,0.8183
402,79.24,348,58.0,3,0,27,3,0.8179
403,-59.65,1001,166.83,3,3,69,0,0.8175
404,-59.83,1001,166.83,2,2,71,1,0.8171
405,80.8,317,52.83,3,0,21,3,0.8166
406,-59.6,1001,166.83,2,1,66,2,0.8162
407,-141.6,683,113.83,0,3,51,0,0.8158
408,-59.4,1001,166.83,1,2,65,1,0.8154
409,39.92,998,166.33,3,0,70,3,0.815
410,-60.21,1001,166.83,1,1,68,2,0.8146
411,-59.67,1001,166.83,3,3,67,0,0.8142
412,-59.17,1001,166.83,2,1,70,2,0.8138
413,57.21,717,119.5,1,0,49,3,0.8134
414,-59.67,1001,166.83,3,3,61,0,0.813
415,-59.24,1001,166.83,1,2,61,1,0.8126
416,-59.37,1001,166.83,2,1,65,2,0.8122
417,41.91,976,162.67,2,0,64,3,0.8118
418,-59.75,1001,166.83,2,3,71,0,0.8114
419,-60.44,1001,166.83,2,1,68,2,0.8109
420,-59.54,1001,166.83,3,1,65,2,0.8105
421,47.12,894,149.0,3,0,58,3,0.8101
422,-59.89,1001,166.83,3,2,64,1,0.8097
423,-59.4,1001,166.83,1,2,63,1,0.8093
424,-59.73,1001,166.83,3,2,60,1,0.8089
425,-60.22,1001,166.83,2,1,68,2,0.8085
426,61.84,631,105.17,2,0,47,3,0.8081
427,-59.82,1001,166.83,3,3,65,0,0.8077
428,-138.49,637,106.17,0,1,40,2,0.8073
429,-59.07,1001,166.83,2,2,67,1,0.8069
430,-59.74,1001,166.83,1,3,66,0,0.8065
431,-58.9,1001,166.83,1,1,59,2,0.8061
432,-60.31,1001,166.83,3,2,69,1,0.8057
433,-59.77,1001,166.83,3,3,66,0,0.8053
434,-59.21,1001,166.83,1,1,64,2,0.8049
435,43.62,951,158.5,2,0,65,3,0.8045
436,73.09,454,75.67,3,0,31,3,0.8041
437,-59.59,1001,166.83,1,3,73,0,0.8037
438,-146.58,788,131.33,0,1,52,2,0.8033
439,-157.84,980,163.33,0,2,68,1,0.8029
440,-143.13,722,120.33,0,3,44,0,0.8025
441,-135.34,586,97.67,0,2,39,1,0.8021
442,-137.16,624,104.0,0,2,42,1,0.8017
443,47.69,875,145.83,2,0,62,3,0.8013
444,-130.63,509,84.83,0,3,30,0,0.8009
445,85.91,235,39.17,3,0,16,3,0.8005
446,71.08,489,81.5,1,0,31,3,0.8001
447,-59.89,1001,166.83,3,3,63,0,0.7997
448,-59.43,1001,166.83,2,3,69,0,0.7993
449,45.23,927,154.5,3,0,61,3,0.7989
450,-160.13,1000,166.67,0,2,68,1,0.7985
451,-59.41,1001,166.83,2,1,70,2,0.7981
452,-59.88,1001,166.83,3,3,63,0,0.7977
453,-129.32,482,80.33,0,2,35,1,0.7973
454,-59.49,1001,166.83,3,3,62,0,0.7969
455,-156.37,958,159.67,0,2,54,1,0.7965
456,-158.34,981,163.5,0,1,59,2,0.7961
457,-59.78,1001,166.83,2,3,71,0,0.7957
458,-59.42,1001,166.83,2,1,68,2,0.7953
459,-59.89,1001,166.83,2,1,65,2,0.7949
460,-59.61,1001,166.83,2,3,67,0,0.7945
461,-59.87,1001,166.83,3,1,66,2,0.7941
462,-59.95,1001,166.83,2,2,72,1,0.7937
463,-59.83,1001,166.83,1,1,70,2,0.7933
464,-129.38,487,81.17,0,1,33,2,0.7929
465,-156.3,940,156.67,0,1,58,2,0.7925
466,-60.06,1001,166.83,3,2,67,1,0.7921
467,-152.15,873,145.5,0,3,59,0,0.7917
468,-60.1,1001,166.83,3,3,69,0,0.7913
469,50.94,824,137.33,1,0,54,3,0.7909
470,-60.26,1001,166.83,2,2,66,1,0.7905
471,-59.3,1001,166.83,2,1,67,2,0.7901
472,-59.18,1001,166.83,1,2,63,1,0.7897
473,-142.78,712,118.67,0,2,45,1,0.7893
474,-60.22,1001,166.83,2,2,70,1,0.7889
475,-59.47,1001,166.83,3,3,60,0,0.7886
476,41.61,977,162.83,3,0,61,3,0.7882
477,-59.63,1001,166.83,1,3,70,0,0.7878
478,-59.47,1001,166.83,2,1,66,2,0.7874
479,-59.39,1001,166.83,3,3,67,0,0.787
480,-59.93,1001,166.83,3,2,67,1,0.7866
481,-115.18,251,41.83,0,3,15,0,0.7862
482,-119.37,322,53.67,0,1,21,2,0.7858
483,-59.08,1001,166.83,1,1,67,2,0.7854
484,-125.7,438,73.0,0,1,27,2,0.785
485,-59.32,1001,166.83,1,3,67,0,0.7846
486,-59.88,1001,166.83,2,2,64,1,0.7842
487,-61.27,1001,166.83,2,3,66,0,0.7838
488,-141.79,696,116.0,0,2,43,1,0.7834
489,-60.08,1001,166.83,3,1,62,2,0.783
490,-59.65,1001,166.83,3,3,67,0,0.7827
491,-59.4,1001,166.83,3,3,64,0,0.7823
492,61.93,632,105.33,1,0,41,3,0.7819
493,-59.28,1001,166.83,2,1,61,2,0.7815
494,-59.33,1001,166.83,3,3,62,0,0.7811
495,-60.3,1001,166.83,3,3,70,0,0.7807
496,62.24,636,106.0,2,0,42,3,0.7803
497,-59.52,1001,166.83,3,3,61,0,0.7799
